fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
1.0,0.01065,0.00636,0.9778,0.00055,2.43069,0.71331,7.78562,0.63199,1.4676,0.01584,0.72006,0.38999,0.0,0.12711,0.45625,0.0,0.0,0.0,0.45902,0.0,0.90501,0.0,0.0
1.0,0.0113,0.01036,0.9209,0.00053,2.04601,0.68512,8.77051,0.51682,1.80197,0.01213,0.5622,0.32822,0.0,0.13518,0.52558,0.0,0.0,0.0,0.37779,0.0,0.98516,0.0,0.0
1.0,0.01318,0.00893,0.92038,0.00038,2.86897,0.80919,7.35451,0.60739,1.82529,0.01123,0.67794,0.50342,0.0,0.0969,0.59084,0.0,0.0,0.0,0.50398,0.0,0.96049,0.0,0.0
1.0,0.01108,0.01042,0.91568,0.00044,2.93346,0.80346,7.81289,0.53873,1.48133,0.01637,0.68712,0.45283,0.0,0.09547,0.48057,0.0,0.0,0.0,0.49313,0.0,1.0,0.0,0.0
1.0,0.01157,0.00624,0.93304,0.00056,2.93267,0.95,10.03813,0.50223,1.28909,0.01584,0.69262,0.38766,0.0,0.09036,0.46471,0.0,0.0,0.0,0.51957,0.0,0.97457,0.0,0.0
0.99989,0.01065,0.00638,0.98,0.00055,2.45353,0.70544,7.58993,0.64591,1.4676,0.01584,0.72604,0.40005,0.0,0.1272,0.4599,0.0,0.0,0.0,0.45902,0.0,0.90501,0.0,0.0
1.0,0.01214,0.01076,0.92525,0.0004,2.91585,0.91708,8.58583,0.53873,1.45187,0.01919,0.80098,0.44091,0.0,0.10152,0.52678,0.0,0.0,0.0,0.44808,0.0,1.0,0.0,0.0
1.0,0.01136,0.00893,0.8926,0.00041,3.11453,0.80919,7.35451,0.60739,1.46899,0.0125,0.46116,0.45688,0.0,0.08893,0.57056,0.0,0.0,0.0,0.53082,0.0,0.96049,0.0,0.0
1.0,0.0098,0.01036,0.96331,0.00055,2.04601,0.7343,8.21711,0.57024,1.95177,0.01521,0.61283,0.32822,0.0,0.13518,0.49444,0.0,0.0,0.0,0.3284,0.0,0.931,0.0,0.0
1.0,0.00999,0.00989,0.93661,0.00049,2.97833,0.8,7.61156,0.5,1.52218,0.01492,0.70118,0.4,0.0,0.09918,0.50109,0.0,0.0,0.0,0.51595,0.0,0.9921,0.0,0.0
0.99994,0.01172,0.00858,0.84689,0.00044,3.11453,0.80919,8.52052,0.6572,1.32433,0.0125,0.4662,0.48353,0.0,0.09565,0.57056,0.0,0.0,0.0,0.44959,0.0,0.73857,0.0,0.0
0.99994,0.01015,0.01066,0.97494,0.0005,3.18478,0.8,7.92756,0.5,1.5,0.01418,0.68259,0.4,0.0,0.1,0.5031,0.0,0.0,0.0,0.49472,0.0,1.0,0.0,0.0
1.0,0.01164,0.00661,0.91277,0.00056,3.49068,0.94205,8.34778,0.50614,1.4676,0.01576,0.85618,0.35996,0.0,0.12711,0.48008,0.0,0.0,0.0,0.49412,0.0,0.62418,0.0,0.0
1.0,0.01203,0.01047,0.90924,0.00046,2.76041,0.91708,8.58583,0.61534,1.46636,0.01919,0.76108,0.44091,0.0,0.10491,0.48545,0.0,0.0,0.0,0.44808,0.0,0.98572,0.0,0.0
1.0,0.00995,0.00762,0.87096,0.00031,2.67588,0.95,6.01092,0.60739,2.04784,0.0125,0.40312,0.55268,0.0,0.08841,0.49809,0.0,0.0,0.0,0.57288,0.0,1.0,0.0,0.0
1.0,0.01164,0.00753,0.9006,0.00056,3.22089,0.95,8.34778,0.48253,1.38899,0.01475,0.9,0.44462,0.0,0.12711,0.39788,0.0,0.0,0.0,0.49412,0.0,0.76239,0.0,0.0
1.0,0.01023,0.00794,0.87428,0.00053,2.12922,0.60489,5.76202,0.46219,1.49911,0.01432,0.72006,0.41158,0.0,0.06574,0.32461,0.0,0.0,0.0,0.4834,0.0,0.87726,0.0,0.0
1.0,0.01081,0.01028,0.90464,0.00071,2.81747,0.80579,9.15678,0.50593,1.37943,0.01477,0.55495,0.28847,0.0,0.11028,0.4826,0.0,0.0,0.0,0.42031,0.0,1.0,0.0,0.0
0.99997,0.01286,0.0091,0.93077,0.00043,2.94313,0.79963,7.02632,0.55784,1.72284,0.01174,0.67015,0.37671,0.0,0.09469,0.60287,0.0,0.0,0.0,0.43984,0.0,0.96695,0.0,0.0
0.99989,0.00895,0.01038,0.98,0.00047,2.04601,0.69595,8.77051,0.42841,1.77973,0.01213,0.55475,0.33925,0.0,0.11737,0.57152,0.0,0.0,0.0,0.48369,0.0,0.90688,0.0,0.0
0.99997,0.01003,0.01,0.9408,0.00049,3.01454,0.8,7.61692,0.50783,1.5,0.015,0.71122,0.39549,0.0,0.10054,0.50119,0.0,0.0,0.0,0.49853,0.0,1.0,0.0,0.0
0.99997,0.01151,0.00602,0.98,0.00049,2.43069,0.75733,7.92274,0.63199,1.4676,0.01699,0.72006,0.36575,0.0,0.12707,0.43482,0.0,0.0,0.0,0.46761,0.0,0.96442,0.0,0.0
0.99997,0.01024,0.0103,0.91247,0.00051,3.01912,0.8,6.20951,0.4899,1.5,0.01754,0.63435,0.41253,0.0,0.09872,0.5,0.0,0.0,0.0,0.54116,0.0,1.0,0.0,0.0
0.99997,0.01319,0.0087,0.92836,0.00038,2.98689,0.83153,7.17249,0.59969,1.78304,0.01123,0.7158,0.49966,0.0,0.09624,0.59084,0.0,0.0,0.0,0.49428,0.0,0.99899,0.0,0.0
0.99997,0.01013,0.00924,0.93968,0.00049,2.93267,0.77401,7.46675,0.51632,1.44608,0.01599,0.74746,0.38921,0.0,0.09754,0.46655,0.0,0.0,0.0,0.4771,0.0,0.94553,0.0,0.0
1.0,0.01068,0.00624,0.90498,0.00068,2.93267,0.95,10.39383,0.52214,1.3963,0.01252,0.45596,0.43995,0.0,0.09036,0.46471,0.0,0.0,0.0,0.51957,0.0,0.60075,0.0,0.0
0.99997,0.00983,0.00958,0.937,0.00053,2.98721,0.77352,7.78562,0.50834,1.44608,0.01602,0.70161,0.3963,0.0,0.09968,0.47727,0.0,0.0,0.0,0.49169,0.0,1.0,0.0,0.0
0.99997,0.00954,0.00843,0.92602,0.00052,3.01067,0.8,7.5,0.52859,1.5,0.01368,0.75987,0.45789,0.0,0.12737,0.42135,0.0,0.0,0.0,0.64391,0.0,0.89041,0.0,0.0
1.0,0.01067,0.00903,0.95941,0.00042,3.24302,0.88869,6.00024,0.52641,1.97381,0.01795,0.69796,0.36678,0.0,0.0898,0.46667,0.0,0.0,0.0,0.4834,0.0,1.0,0.0,0.0
1.0,0.01077,0.00692,0.96648,0.00039,2.02052,0.9087,5.01522,0.60739,2.37874,0.01559,0.72363,0.59976,0.0,0.11298,0.59084,0.0,0.0,0.0,0.52571,0.0,0.96049,0.0,0.0
0.99997,0.00988,0.0098,0.94698,0.0005,3.0,0.8,7.5,0.4813,1.58673,0.01498,0.71403,0.40638,0.0,0.10309,0.5,0.0,0.0,0.0,0.50378,0.0,0.9948,0.0,0.0
1.0,0.01065,0.00729,0.91066,0.00064,3.15995,0.81331,5.73025,0.5846,1.68266,0.01584,0.57251,0.42797,0.0,0.15239,0.44805,0.0,0.0,0.0,0.4862,0.0,1.0,0.0,0.0
0.99997,0.01108,0.01085,0.98,0.00044,2.7881,0.80346,11.3732,0.44396,1.11055,0.02077,0.41709,0.45283,0.0,0.09547,0.41928,0.0,0.0,0.0,0.48688,0.0,0.73991,0.0,0.0
0.99994,0.00888,0.00519,0.98,0.00055,1.68844,0.71331,7.67851,0.45398,1.03196,0.02023,0.48844,0.40654,0.0,0.12711,0.37737,0.0,0.0,0.0,0.54334,0.0,1.0,0.0,0.0
1.0,0.01129,0.01027,0.92037,0.00052,2.04601,0.68584,8.90304,0.50417,1.80197,0.01213,0.5622,0.32082,0.0,0.13518,0.5193,0.0,0.0,0.0,0.35927,0.0,0.98919,0.0,0.0
0.99997,0.01014,0.01097,0.9333,0.00048,3.0,0.77787,7.5,0.51272,1.50398,0.01461,0.7,0.42011,0.0,0.10219,0.52354,0.0,0.0,0.0,0.49189,0.0,1.0,0.0,0.0
1.0,0.01318,0.00926,0.82541,0.00039,2.59516,0.78374,7.35451,0.44869,1.85858,0.01118,0.82973,0.44023,0.0,0.07395,0.59084,0.0,0.0,0.0,0.56522,0.0,0.9174,0.0,0.0
0.99997,0.01318,0.00881,0.9259,0.00038,2.86897,0.80919,7.32272,0.60739,1.81414,0.01131,0.68056,0.50342,0.0,0.09874,0.59084,0.0,0.0,0.0,0.50398,0.0,0.95658,0.0,0.0
1.0,0.01081,0.00655,0.97745,0.00055,2.43069,0.74636,7.78562,0.63199,1.41602,0.01631,0.75852,0.40385,0.0,0.13263,0.45625,0.0,0.0,0.0,0.45902,0.0,0.90501,0.0,0.0
0.99997,0.01318,0.00907,0.92605,0.00037,2.91261,0.80366,7.46127,0.61163,1.81366,0.01123,0.64854,0.49638,0.0,0.09584,0.59139,0.0,0.0,0.0,0.49651,0.0,0.96049,0.0,0.0
1.0,0.01,0.01017,0.8998,0.00058,3.0,0.95,6.51835,0.55977,1.52722,0.0139,0.7,0.35498,0.0,0.08174,0.53288,0.0,0.0,0.0,0.40139,0.0,1.0,0.0,0.0
1.0,0.01031,0.00992,0.90797,0.00049,3.08813,0.87448,7.67497,0.5,1.42671,0.01557,0.68955,0.40277,0.0,0.10151,0.48313,0.0,0.0,0.0,0.48079,0.0,1.0,0.0,0.0
0.99997,0.0113,0.01035,0.92053,0.00053,2.04601,0.68498,8.77136,0.51682,1.80197,0.01212,0.5631,0.32797,0.0,0.13517,0.52483,0.0,0.0,0.0,0.37769,0.0,0.9848,0.0,0.0
1.0,0.01214,0.01061,0.93691,0.0004,2.91585,0.90096,7.92522,0.56005,1.47631,0.0196,0.81455,0.46654,0.0,0.09752,0.56336,0.0,0.0,0.0,0.45685,0.0,0.99986,0.0,0.0
1.0,0.01358,0.00638,0.9356,0.00055,2.93267,0.79032,10.03813,0.51109,1.23859,0.01697,0.69436,0.46982,0.0,0.10259,0.46471,0.0,0.0,0.0,0.51011,0.0,0.91205,0.0,0.0
1.0,0.01157,0.00627,0.93438,0.00058,3.10397,0.95,10.35616,0.53123,1.2987,0.01584,0.67336,0.39047,0.0,0.09036,0.46471,0.0,0.0,0.0,0.5165,0.0,0.98516,0.0,0.0
1.0,0.01027,0.00963,0.95029,0.00055,2.93407,0.81091,7.15403,0.47156,1.47003,0.01517,0.80251,0.36681,0.0,0.10384,0.50818,0.0,0.0,0.0,0.50174,0.0,1.0,0.0,0.0
0.99997,0.01309,0.0109,0.93429,0.00039,2.93661,0.93551,8.66738,0.51412,1.31527,0.01919,0.82716,0.3798,0.0,0.10127,0.52027,0.0,0.0,0.0,0.42938,0.0,0.94216,0.0,0.0
0.99997,0.01,0.01,0.937,0.0005,2.99992,0.80001,7.5,0.5,1.49985,0.015,0.70001,0.39992,0.0,0.09997,0.49999,0.0,0.0,0.0,0.5,0.0,0.99988,0.0,0.0
0.99997,0.0136,0.00893,0.90613,0.00038,2.71577,0.81894,7.59234,0.60548,1.84304,0.01059,0.65619,0.51487,0.0,0.10146,0.59394,0.0,0.0,0.0,0.53024,0.0,0.96049,0.0,0.0
1.0,0.01108,0.01036,0.9099,0.00043,3.07012,0.8255,7.64196,0.51287,1.48133,0.01618,0.6599,0.43306,0.0,0.09547,0.48057,0.0,0.0,0.0,0.48956,0.0,1.0,0.0,0.0
0.99997,0.01162,0.00941,0.89866,0.00048,3.33727,0.80919,7.35451,0.59766,1.46899,0.01228,0.48673,0.3782,0.0,0.0869,0.55173,0.0,0.0,0.0,0.5439,0.0,0.82498,0.0,0.0
1.0,0.0094,0.01,0.92793,0.00061,1.94767,0.68786,9.06009,0.59915,1.17461,0.0124,0.69838,0.28884,0.0,0.10286,0.42606,0.0,0.0,0.0,0.5,0.0,0.74628,0.0,0.0
1.0,0.01157,0.00562,0.93304,0.00057,2.68108,0.95,9.16138,0.50223,1.23051,0.01584,0.68948,0.33393,0.0,0.10052,0.51946,0.0,0.0,0.0,0.46,0.0,1.0,0.0,0.0
1.0,0.01157,0.00636,0.93304,0.00055,3.00878,0.95,9.61476,0.50223,1.28577,0.01587,0.68528,0.38985,0.0,0.09369,0.46415,0.0,0.0,0.0,0.52176,0.0,0.99958,0.0,0.0
0.99994,0.01249,0.01,0.96229,0.00042,3.49748,0.6564,7.01937,0.48197,1.87049,0.01375,0.7,0.32202,0.0,0.08344,0.4677,0.0,0.0,0.0,0.58374,0.0,1.0,0.0,0.0
1.0,0.00995,0.00992,0.93661,0.0005,3.02544,0.8,7.55045,0.48965,1.49675,0.01493,0.68492,0.40408,0.0,0.10046,0.51031,0.0,0.0,0.0,0.52845,0.0,0.99677,0.0,0.0
1.0,0.00999,0.00989,0.93661,0.00049,2.86239,0.8,7.61156,0.41381,1.33702,0.01717,0.54528,0.45406,0.0,0.09918,0.51345,0.0,0.0,0.0,0.50995,0.0,0.98147,0.0,0.0
0.99997,0.00919,0.00985,0.93753,0.0005,3.16901,0.79064,7.61156,0.5,1.52218,0.01492,0.70118,0.4,0.0,0.09782,0.477,0.0,0.0,0.0,0.5295,0.0,0.9921,0.0,0.0
1.0,0.01178,0.00833,0.98,0.0005,3.0,0.8,7.66973,0.35916,1.52154,0.01507,0.69792,0.39582,0.0,0.1,0.45757,0.0,0.0,0.0,0.47969,0.0,1.0,0.0,0.0
1.0,0.0091,0.01036,0.96331,0.0006,1.90916,0.71858,8.21711,0.60619,2.04319,0.01526,0.53935,0.28082,0.0,0.14879,0.47352,0.0,0.0,0.0,0.28682,0.0,0.91129,0.0,0.0
1.0,0.01075,0.00732,0.937,0.00061,2.53192,0.95,9.8097,0.41702,1.5,0.0149,0.7,0.35792,0.0,0.06197,0.46369,0.0,0.0,0.0,0.53738,0.0,0.4612,0.0,0.0
0.99997,0.01074,0.01123,0.92508,0.00049,3.03035,0.71541,8.23401,0.53772,1.52218,0.01535,0.59741,0.39313,0.0,0.094,0.43639,0.0,0.0,0.0,0.44634,0.0,1.0,0.0,0.0
0.99997,0.01108,0.01043,0.91594,0.00044,2.93346,0.80496,7.78538,0.53849,1.4791,0.01635,0.68914,0.4538,0.0,0.09522,0.48057,0.0,0.0,0.0,0.49379,0.0,1.0,0.0,0.0
1.0,0.01214,0.01076,0.9407,0.00039,3.10317,0.93722,7.86769,0.4895,1.44191,0.02021,0.79802,0.3873,0.0,0.1029,0.45235,0.0,0.0,0.0,0.41306,0.0,0.91647,0.0,0.0
1.0,0.0108,0.00916,0.94544,0.00048,3.20318,0.82777,8.50947,0.64163,1.26126,0.0196,0.71771,0.48032,0.0,0.09424,0.4613,0.0,0.0,0.0,0.41001,0.0,1.0,0.0,0.0
1.0,0.01063,0.00906,0.92641,0.00046,3.4496,0.8,7.38371,0.51254,1.52218,0.01723,0.77983,0.4,0.0,0.1059,0.51147,0.0,0.0,0.0,0.60824,0.0,1.0,0.0,0.0
1.0,0.01164,0.00702,0.89158,0.0007,3.46389,0.95,6.96349,0.42174,1.73657,0.01475,0.73266,0.37807,0.0,0.12548,0.39788,0.0,0.0,0.0,0.49412,0.0,0.76829,0.0,0.0
0.99997,0.01015,0.00754,0.8732,0.0007,2.87494,0.95,9.00199,0.43406,1.11073,0.0169,0.9,0.44462,0.0,0.13475,0.45133,0.0,0.0,0.0,0.44354,0.0,0.67529,0.0,0.0
1.0,0.01,0.01,0.93642,0.0005,2.99342,0.79639,7.50128,0.50009,1.50124,0.015,0.69942,0.39838,0.0,0.1,0.50132,0.0,0.0,0.0,0.50191,0.0,1.0,0.0,0.0
1.0,0.01023,0.00779,0.86685,0.00053,2.08421,0.61892,5.61024,0.46085,1.49144,0.01432,0.71396,0.4015,0.0,0.06574,0.33284,0.0,0.0,0.0,0.48079,0.0,0.87726,0.0,0.0
0.99994,0.0119,0.0107,0.98,0.00052,2.64139,0.68584,9.93815,0.43021,1.79037,0.00835,0.5622,0.2914,0.0,0.10554,0.5193,0.0,0.0,0.0,0.42012,0.0,0.94816,0.0,0.0
1.0,0.00956,0.01194,0.90797,0.00068,2.81111,0.94339,6.76196,0.61294,0.95108,0.01708,0.68955,0.40277,0.0,0.10151,0.35025,0.0,0.0,0.0,0.56,0.0,0.9557,0.0,0.0
1.0,0.00978,0.00992,0.94297,0.00049,2.50387,0.86291,6.67537,0.44182,1.18333,0.01589,0.68955,0.32131,0.0,0.09727,0.49185,0.0,0.0,0.0,0.39649,0.0,1.0,0.0,0.0
